Title,List Author,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
The Conundrum of Charitability: Reassessing Tax Exemption for Hospitals [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"American Journal of Law & Medicine, Vol. 16, Issue 3 (1990), pp. 327-380",16 Am. J.L. & Med. 327 (1990),28,na,7,"Hospitals, Statute of Limitations, Property, Real Property, States, Property Tax",6716.0
Drive-Through Deliveries: Is Consumer Protection Just What the Doctor Ordered [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"North Carolina Law Review, Vol. 78, Issue 1 (November 1999), pp. 5-100",78 N.C. L. Rev. 5 (1999-2000),28,na,4,"Consumer Protection, Consumer Protection Law, Health Law, Managed Care, Administration Law, Regulation",6716.0
And Such Small Portions: Limited Performance Agreements and the Cost/Quality/Access Trade-Off [article],David A. Hyman,"Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",,"Georgetown Journal of Legal Ethics, Vol. 11, Issue 4 (Summer 1998), pp. 959-980",11 Geo. J. Legal Ethics 959 (1997-1998),27,na,3,"Dispute Resolution, Criminal Law and Procedure, Corporations, Labor Law",6716.0
"Hospital Conversions: Fact, Fantasy, and Regulatory Follies [article]",David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Journal of Corporation Law, Vol. 23, Issue 4 (Summer 1998), pp. 741-778",23 J. Corp. L. 741 (1997-1998),25,1,6,"Government, Hospitals, Social Welfare Law, Legislation, Nonprofit Organizations, Organizations, Checkpoints, Health",6716.0
"Health Care Fraud and Abuse: Market Change, Social Norms, and the Trust Reposed in the Workmen [comments]",David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Journal of Legal Studies, Vol. 30, Issue 2 - Part 2 (June 2001), pp. 531-568",30 J. Legal Stud. 531 (2001),25,na,21,"Health Law, Insurance Law, Criminal Law and Procedure",6716.0
"Professional Responsibility, Legal Malpractice, and the Eternal Tiangle: Will Lawyers or Insurers Call the Shots [article]",David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Connecticut Insurance Law Journal, Vol. 4, Issue 1 (1997-1998), pp. 353-404",4 Conn. Ins. L.J. 353 (1997-1998),24,1,5,"Legal Malpractice, Malpractice, Attorneys, Legal Profession, Ethics, Insurance, Liability, Liability Insurance",6716.0
"Do Defendants Pay What Juries Award - Post-Verdict Haircuts in Texas Medical Malpractice Cases, 1988-2003 [article]",David A. Hyman,"Hyman, David A. (Cited 1166 times); Black, Bernard (Cited 3647 times); Zeiler, Kathryn (Cited 133 times)",,"Journal of Empirical Legal Studies , Vol. 4, Issue 1 (2007), pp. 3-68",4 J. Empirical Legal Stud. 3 (2007),22,na,na,"Defendants, Malpractice, Medical Malpractice, Damages, Evidence, Medical Jurisprudence, Remedies, Torts",6716.0
Why Who Does What Matters: Governmental Design and Agency Performance [article],David A. Hyman,"Hyman, David A. (Cited 1166 times); Kovacic, William E. (Cited 1576 times)",,"George Washington Law Review, Vol. 82, Issue 5 (October 2014), pp. 1446-1516",82 Geo. Wash. L. Rev. 1446 (2013-2014),20,na,41,"Agency, Consumer Protection Law, Endangered Species, Rivers, Natural Resources Law",6716.0
Fraud and Abuse: Regulatory Alternatives in a Competitive Health Care Era [article],David A. Hyman,"Hyman, David A. (Cited 1166 times); Williamson, Joel V. (Cited 23 times)",,"Loyola University Chicago Law Journal, Vol. 19, Issue 4 (Summer 1988), pp. 1133-1196",19 Loy. U. Chi. L.J. 1133 (Summer 1988),20,na,13,"Fraud, Health, Health Insurance, Licensing, Medicaid, Medical Jurisprudence, Physicians, Torts, Restraint of Trade, Health Law",6716.0
Why Did Law Professors Misunderestimate the Lawsuits against PPACA [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"University of Illinois Law Review, Vol. 2014, Issue 3 (2014), pp. 805-838",2014 U. Ill. L. Rev. 805 (2014),18,na,8,"Health, Health Law, Consultants, Ethics",6716.0
Institutional Review Boards: Is This the Least Worst We Can Do [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Northwestern University Law Review, Vol. 101, Issue 2 (2007), pp. 749-774",101 Nw. U. L. Rev. 749 (2007),16,na,12,"Censorship, Research, Health Law, Liability",6716.0
"Institutional Design, Agency Life Cycle, and the Goals of Competition Law [article]",David A. Hyman,"Hyman, David A. (Cited 1166 times); Kovacic, William E. (Cited 1576 times)",,"Fordham Law Review, Vol. 81, Issue 5 (April 2013), pp. 2163-2174",81 Fordham L. Rev. 2163 (April 2013),14,na,55,"Agency, Antitrust, Judges, Trade Regulation",6716.0
Combating Antimicrobial Resistance: Regulatory Strategies and Institutional Capacity [article],David A. Hyman,"Sage, William M. (Cited 1594 times); Hyman, David A. (Cited 1166 times)",,"Tulane Law Review, Vol. 84, Issue 4 (March 2010), pp. 781-840",84 Tul. L. Rev. 781 (2009-2010),13,na,19,"Capacity, Food and Drug Law, Health Law, Drugs",6716.0
Medicine in the New Millennium: A Self-Help Guide for the Perplexed [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"American Journal of Law & Medicine, Vol. 26, Issues 2 & 3 (2000), pp. 143-154",26 Am. J.L. & Med. 143 (2000),12,na,2,"Health, Politics, Health Law",6716.0
HIPAA and Health Care Fraud: An Empirical Perspective [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Cato Journal, Vol. 22, Issue 1 (Spring/Summer 2002), pp. 151-178",22 Cato J. 151 (2002-2003),12,na,10,"Health Law, Dispute Resolution, Criminal Law and Procedure",6716.0
Can't Anyone Here Play This Game - Judging the FTC's Critics [notes],David A. Hyman,"Hyman, David A. (Cited 1166 times); Kovacic, William E. (Cited 1576 times)",,"George Washington Law Review, Vol. 83, Issue 6 (November 2015), pp. 1948-1978",83 Geo. Wash. L. Rev. 1948 (November 2015),12,na,14,"Administrative Law, Federal Trade Commission, Technology, Consumer Protection",6716.0
A Second Opinion on Second Opinions [comments],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Virginia Law Review, Vol. 84, Issue 8 (November 1998), pp. 1439-1464",84 Va. L. Rev. 1439 (1998),12,na,5,"Practice and Procedure, Economics, Legal Profession, Education",6716.0
Medicare Meets Mephistopheles [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Washington and Lee Law Review, Vol. 60, Issue 4 (Fall 2003), pp. 1165-1206",60 Wash. & Lee L. Rev. 1165 (Fall 2003),12,na,2,"Jurisprudence, Medicare, Health Law",6716.0
When Rules Collide: Procedural Intersection and the Rule of Law [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Tulane Law Review , Vol. 71, Issue 5 (May 1997), pp. 1389-1454",71 Tul. L. Rev. 1389 (1996-1997),11,1,2,"Practice and Procedure, Rule of Law, Statute of Limitations, Jurisdiction",6716.0
Health Insurance: Market Failure or Government Failure [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Connecticut Insurance Law Journal, Vol. 14, Issue 2 (2007-2008), pp. 307-324",14 Conn. Ins. L.J. 307 (2007-2008),10,na,13,"Government, Health, Health Insurance, Health Law, Insurance, Employment, Employment Practice, Insurance Law",6716.0
Estimating the Effect of Damages Caps in Medical Malpractice Cases: Evidence from Texas [article],David A. Hyman,"Hyman, David A. (Cited 1166 times); Black, Bernard (Cited 3647 times); Silver, Charles (Cited 1565 times); Sage, William M. (Cited 1594 times)",,"Journal of Legal Analysis, Vol. 1, Issue 1 (Winter 2009), pp. 355-410",1 J. Legal Analysis 355 (2009),10,na,15,"Damages, Evidence, Malpractice, Medical Jurisprudence, Medical Malpractice, Remedies, Torts, Defendants",6716.0
Accountable Managed Care: Should We Be Careful What We Wish For [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"University of Michigan Journal of Law Reform, Vol. 32, Issue 4 (Summer 1999), pp. 785-812",32 U. Mich. J.L. Reform 785 (1998-1999),10,na,na,"Managed Care, Health Law, Jurisdiction, Liability, Retirement",6716.0
Competition Agency Design: What's on the Menu [article],David A. Hyman,"Kovacic, William E. (Cited 1576 times); Hyman, David A. (Cited 1166 times)",,"European Competition Journal, Vol. 8, Issue 3 (December 2012), pp. 527-538",8 Eur. Competition J. 527 (2012),8,na,12,"Agency, Antitrust, Administration Law, Federal Trade Commission",6716.0
The Receding Tide of Medical Malpractice Litigation: Part 1 - National Trends [article],David A. Hyman,"Paik, Myungho (Cited 19 times); Black, Bernard (Cited 3647 times); Hyman, David A. (Cited 1166 times)",,"Journal of Empirical Legal Studies, Vol. 10, Issue 4 (2013), pp. 612-638",10 J. Empirical Legal Stud. 612 (2013),8,na,14,"Malpractice, Medical Jurisprudence, Medical Malpractice, Insurance, Insurance Law, Liability, Torts",6716.0
"The Massachusetts Health Plan: The Good, the Bad, and the Ugly [comments]",David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"University of Kansas Law Review, Vol. 55, Issue 5 (June 2007), pp. 1103-1118",55 U. Kan. L. Rev. 1103 (2006-2007),7,na,7,"Health, Health Insurance, Insurance, States",6716.0
"Follow the Money: Money Matters in Health Care, Just Like in Everything Else [article]",David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"American Journal of Law & Medicine, Vol. 36, Issues 2 and 3 (2010), pp. 370-388",36 Am. J.L. & Med. 370 (2010),7,na,4,"Health, Money, Evidence, Malpractice",6716.0
"Defense Costs and Insurer Reserves in Medical Malpractice and Other Personal Injury Cases: Evidence from Texas, 1988-2004 [article]",David A. Hyman,"Black, Bernard (Cited 3647 times); Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times); Sage, William M. (Cited 1594 times)",,"American Law and Economics Review , Vol. 10, Issue 2 (Fall 2008), pp. 185-245",Full Text Not Currently Available in HeinOnline,7,na,na,"Costs, Evidence, Malpractice, Medical Malpractice, Personal Injury, Defendants, Medical Jurisprudence, Plaintiffs, Torts, Economics",6716.0
When and Why Lawyers are the Problem [notes],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"DePaul Law Review, Vol. 57, Issue 2 (Winter 2008), pp. 267-280",57 DePaul L. Rev. 267 (2007-2008),7,na,5,"Medical Jurisprudence, Professional Ethics, Communications Law, Cartels, Professions",6716.0
Does Technology Spell Trouble with a Capital T: Human Dignity and Public Policy [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Harvard Journal of Law & Public Policy, Vol. 27, Issue 1 (Fall 2003), pp. 3-18",27 Harv. J.L. & Pub. Pol'y 3 (2003-2004),7,na,17,"Public Policy, Science and Technology, Technology, Jurisprudence, Privacy, Rico, States, Constitutional Law, Human Rights Law",6716.0
Believing Six Improbable Things: Medical Malpractice and Legal Fear [article],David A. Hyman,"Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",,"Harvard Journal of Law & Public Policy, Vol. 28, Issue 1 (Fall 2004), pp. 107-118",28 Harv. J.L. & Pub. Pol'y 107 (2004-2005),7,na,7,"Malpractice, Medical Jurisprudence, Medical Malpractice, Tort Reform, Education",6716.0
Access to Justice in a World without Lawyers: Evidence from Texas Bodily Injury Claims [article],David A. Hyman,"Silver, Charles (Cited 1565 times); Hyman, David A. (Cited 1166 times)",,"Fordham Urban Law Journal, Vol. 37, Issue 1 (February 2010), pp. 357-380",37 Fordham Urb. L.J. 357 (2010),7,na,9,"Evidence, Torts, Economics, Legal Profession, Personal Injury",6716.0
What Lessons Should We Learn from the First Malpractice Crisis of the Twenty-First Century [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Drexel Law Review, Vol. 1, Issue 2 (Spring/Summer 2009), pp. 261-272",1 Drexel L. Rev. 261 (2009),6,na,16,"Malpractice, Medical Malpractice, Insurance, Medical Jurisprudence, Torts",6716.0
Trademarks as Search Engine Keywords: Much Ado about Something [article],David A. Hyman,"Franklyn, David J. (Cited 142 times); Hyman, David A. (Cited 1166 times)",,"Harvard Journal of Law & Technology, Vol. 26, Issue 2 (Spring 2013), pp. 481-544",26 Harv. J. L. & Tech. 481 (Spring 2013),6,na,13,"Trademarks, Courts",6716.0
Tobacco Litigation's Third-Wave: Has Justice Gone up in Smoke [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Journal of Health Care Law & Policy, Vol. 2, Issue 1 (1998), pp. 34-44",2 J. Health Care L. & Pol'y 34 (1998-1999),6,na,na,"Tobacco, Medicaid, States, Economics, Health, Health Law, Industry, Public Health",6716.0
Settlement at Policy Limits and the Duty to Settle: Evidence from Texas [article],David A. Hyman,"Hyman, David A. (Cited 1166 times); Black, Bernard (Cited 3647 times); Silver, Charles (Cited 1565 times)",,"Journal of Empirical Legal Studies, Vol. 8, Issue 1 (March 2011), pp. 48-84",8 J. Empirical Legal Stud. 48 (2011),6,na,11,"Economics, Evidence, Insurance Law, Medical Jurisprudence, Malpractice, Torts, Bad Faith",6716.0
Getting the Haves to Come out Behind: Fixing the Distributive Injustices of American Health Care [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Law and Contemporary Problems, Vol. 69, Issue 4 (Autumn 2006), pp. 265-282",69 Law & Contemp. Probs. 265 (Autumn 2006),6,na,2,"Health, Torts",6716.0
Consume or Invest: What Do/Should Agency Leaders Maximize [article],David A. Hyman,"Kovacic, William E. (Cited 1576 times); Hyman, David A. (Cited 1166 times)",,"Washington Law Review, Vol. 91, Issue 1 (March 2016), pp. 295-324",91 Wash. L. Rev. 295 (2016),6,na,15,"Agency, President/Executive Department, Administration Law",6716.0
Employment-Based Health Insurance and Universal Coverage: Four Things People Know that Aren't So [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Yale Journal of Health Policy, Law, and Ethics, Vol. 9, Issue 2 (2009), pp. 435-452",9 Yale J. Health Pol'y L. & Ethics 435 (2009),6,na,6,"Employment, Health, Health Insurance, Insurance, Insurance Law, Employment Practice, Health Law",6716.0
"Fixing Obamacare: The Virtues of Choice, Competition, and Deregulation [article]",David A. Hyman,"Epstein, Richard A. (Cited 11742 times); Hyman, David A. (Cited 1166 times)",,"New York University Annual Survey of American Law, Vol. 68, Issue 3 (2013), pp. 493-538",68 N.Y.U. Ann. Surv. Am. L. 493 (2012-2013),5,na,9,"Deregulation, Health Law, Insurance Law, Social Security, Social Welfare Law, Health",6716.0
Procedural Intersection and Special Pleading: Is Tax Different [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Tulane Law Review , Vol. 71, Issue 6 (June 1997), pp. 1729-1748",71 Tul. L. Rev. 1729 (1996-1997),5,na,1,"Jurisdiction, Statute of Limitations, Practice and Procedure, Rule of Law",6716.0
"Healthcare Quality, Patient Safety, and the Culture of Medicine: Denial Ain't Just a River in Egypt [article]",David A. Hyman,"Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",,"New England Law Review, Vol. 46, Issue 3 (2012), pp. 417-436",46 New Eng. L. Rev. 417 (2011-2012),4,na,14,"Fourteenth Amendment, Health Law, Constitutional Law, Consumer Protection Law, Medical Malpractice, Physicians, Sovereign Immunity",6716.0
"Trademarks as Search-Engine Keywords: Who, What, When [article]",David A. Hyman,"Hyman, David A. (Cited 1166 times); Franklyn, David J. (Cited 142 times)",,"Texas Law Review, Vol. 92, Issue 7 (June 2014), pp. 2117-2148",92 Tex. L. Rev. 2117 (June 2014),4,na,9,"Trademarks, Interest",6716.0
"If Professions Are Just Cartels by Another Name, What Should We Do about It [comments]",David A. Hyman,"Hyman, David A. (Cited 1166 times); Svorny, Shirley (Cited 11 times)",,"University of Pennsylvania Law Review Online, Vol. 163, pp. 101-122",163 U. Pa. L. Rev. Online 101 (2014-2015),3,na,3,"Cartels, Professions, Immunity, Jurisdiction, State Action, Antitrust, Health, Health Law, Licensing",6716.0
The Effects of Early Offers in Medical Malpractice Cases: Evidence from Texas [article],David A. Hyman,"Black, Bernard (Cited 3647 times); Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",,"Journal of Empirical Legal Studies, Vol. 6, Issue 4 (2009), pp. 723-767",6 J. Empirical Legal Stud. 723 (2009),3,na,5,"Evidence, Malpractice, Medical Jurisprudence, Medical Malpractice, Remedies, Torts, Dispute Resolution",6716.0
Search Bias and the Limits of Antitrust: An Empirical Perspective on Remedies [article],David A. Hyman,"Hyman, David A. (Cited 1166 times); Franklyn, David J. (Cited 142 times)",,"Jurimetrics, Vol. 55, Issue 3 (Spring 2015), pp. 339-380",55 Jurimetrics 339 (2014-2015),3,na,30,"Antitrust, Remedies, European Union, International Trade, Science and Technology, States, Trade Regulation",6716.0
The Economics of Plaintiff-Side Personal Injury Practice [article],David A. Hyman,"Hyman, David A. (Cited 1166 times); Black, Bernard (Cited 3647 times); Silver, Charles (Cited 1565 times)",,"University of Illinois Law Review, Vol. 2015, Issue 4 (2015), pp. 1563-1604",2015 U. Ill. L. Rev. 1563 (2015),2,na,29,"Economics, Legal Profession, Personal Injury, Torts, Evidence, Settlements",6716.0
Convicts and Convictions: Some Lessons from Transportation for Health Reform [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"University of Pennsylvania Law Review, Vol. 159, Issue 6 (June 2011), pp. 1999-2042",159 U. Pa. L. Rev. 1999 (2010-2011),2,na,6,"Comparative Law, Health, Transportation, Health Law, Abortion, Health Insurance, Public Employees",6716.0
O'Connell Early Settlement Offers: Toward Realistic Numbers and Two-Sided Offers [article],David A. Hyman,"Black, Bernard (Cited 3647 times); Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",,"Journal of Empirical Legal Studies, Vol. 7, Issue 2 (2010), pp. 379-402",7 J. Empirical Legal Stud. 379 (2010),2,na,7,"Dispute Resolution, Evidence, Malpractice, Medical Jurisprudence, Medical Malpractice, Remedies, Torts",6716.0
