,0,1,2,3,4,5,6,7,8,9,10
2332,Comparative Law,Economics,Judges,Judiciary,Law and Economics,Courts,Guardians,Judicial Process,Attorneys,Merit Selection,
2333,Comparative Law,Jurisprudence,Administrative Agencies,Standing,,,,,,,
2334,Common Law,Legal History,Comparative Law,Economics,Legal Research,,,,,,
2335,Torts,Economics,Liability,Negligence,Strict Liability,,,,,,
2336,Courts,Information Privacy,Criminal Law and Procedure,Education,,,,,,,
2337,Criminal Law and Procedure,Law and Society,,,,,,,,,
2338,Common Law,Civil Law,Jurisprudence,Economics,,,,,,,
2339,Constitutional Law,Democracy,Rule of Law,Voting,Comparative Law,Politics,,,,,
2340,Criminal Law and Procedure,Law Enforcement,Administrative Agencies,Organizations,Banking,Wages,,,,,
2341,Judges,Judiciary,Human Rights Law,Prisoners,States,,,,,,
2342,Comparative Law,Economics,Law and Economics,Human Rights,Law Reform,Right of Privacy,Treaties,Courts,,,
2343,Judiciary,Legal Ethics,Comparative Law,Judges,Psychiatry and Psychology,,,,,,
2344,Criminal Law and Procedure,Human Rights Law,Administrative Agencies,Law and Society,Evidence,Law Enforcement and Corrections,,,,,
2345,Liability,States,Courts,Aids,Government Liability,Remedies,,,,,
2346,Voting,Judges,Comparative Law,Politics,,,,,,,
2347,Fees,Legal Profession,Professional Ethics,,,,,,,,
2348,Economics,Defendants,Plaintiffs,Damages,Punitive Damages,,,,,,
2349,Administrative Agencies,Law and Society,Economics,Criminal Law and Procedure,,,,,,,
2350,Economics,Roman Law,Theft,Criminal Law,,,,,,,
2351,Immigration Law,Criminal Procedure,Victims,Criminal Law and Procedure,,,,,,,
2352,Economics,Law and Economics,Civil Law,Comparative Law,Courts,,,,,,
2353,Politics,Constitutional Law,Democracy,Rule of Law,,,,,,,
2354,Comparative Law,Criminal Law and Procedure,Jurisprudence,Law and Society,,,,,,,
2355,Criminal Law and Procedure,Hate Crimes,Juveniles,Minors,Parents,Law Enforcement and Corrections,,,,,
2356,Judges,Jurisdiction,Jurisprudence,Separation,Separation of Powers,Murder,,,,,
2357,Common Law,Economics,Jurisprudence,Civil Law,Comparative Law,Legal Research,,,,,
2358,Federalism,Constitutional Law,Democracy,Rule of Law,Politics,,,,,,
2359,Comparative Law,Courts,Judges,States,Judiciary,Federal Courts,,,,,
2360,Law Enforcement and Corrections,Criminal Law and Procedure,Evidence,,,,,,,,
2361,Administrative Agencies,Judges,Courts,Evidence,Jurisprudence,,,,,,
2362,Courts,Evidence,Dispute Resolution,Domestic Relations,Judges,,,,,,
2363,Law Enforcement,Law Enforcement and Corrections,Punishment,,,,,,,,
2364,Comparative Law,Courts,Judges,States,Merit Selection,,,,,,
2365,Comparative Law,Domestic Relations,International Law,,,,,,,,
2366,Comparative Law,Criminal Law and Procedure,Law and Society,,,,,,,,
2367,Economics,Courts,Torts,,,,,,,,
2368,Comparative Law,Environment,Law Enforcement,Criminal Law and Procedure,,,,,,,
2369,Bribery,Public Officials,Accomplices,Criminal Procedure,Labor Law,Whistleblowers,Crimes,Police,,,
2370,Forfeiture,Fisheries,Water,Gifts,Legislation,,,,,,
2371,Social Welfare Law,Law and Society,Social Welfare,Economic Policy,Economics,Human Rights,Labor Law,,,,
2372,Criminal Law and Procedure,Felony Murder,Homicide,Felonies,,,,,,,
2373,Constitutional Courts,Constitutional Law,Judicial Review,Constitutions,Criminal Law and Procedure,,,,,,
2374,Constitutional Courts,Ombudsmen,Communications Law,Criminal Law and Procedure,,,,,,,
2375,Criminal Law and Procedure,Fourteenth Amendment,Evidence,,,,,,,,
2376,Evidence,Immigrants,European Union,,,,,,,,
2377,Economics,Law and Economics,Comparative Law,Bankruptcy Law,Corporations,Debtors and Creditors,,,,,
2378,Federalism,Discrimination,Constitutional Law,,,,,,,,
2379,Civil Law,Evidence,Malpractice,Medical Malpractice,Medical Jurisprudence,,,,,,
2380,Damages,Interest,Law and Economics,Obligations,Administrative Agencies,,,,,,
2381,Administrative Courts,Courts,Evidence,Government,Malpractice,Medical Malpractice,Judges,Comparative Law,Politics,,
2382,Judges,Voting,Administrative Courts,Courts,Evidence,Government,Malpractice,Medical Malpractice,,,
2383,European Commission,Judgments,Judicial Review,European Court of Human Rights,Human Rights,International Court of Justice,Voting,Courts,Fines,Jurisdiction,
2384,Judges,Politics,Government,Local Government,States,,,,,,
2385,Property,Administrative Agencies,Contracts,Costs,Evidence,,,,,,
2386,Constitutional Law,Comparative Law,Annexation,Courts,,,,,,,
2387,Constitutional Law,Democracy,Rule of Law,Judges,Jurisprudence,Legal Analysis and Writing,Environment,International Law,,,
2388,Bills,Courts,Judges,Appellate Courts,,,,,,,
2389,Constitutional Law,Democracy,Rule of Law,Comparative Law,Judges,Marriage,Politics,Same-Sex Marriage,Sex,,
2390,Criminal Law,Proof,Labor Law,Murder,Burden of Proof,,,,,,
2391,Economics,Legal Profession,,,,,,,,,
2392,Probate Law,Rule Against Perpetuities,Trusts,Property,,,,,,,
2393,Public Policy,Spendthrift Trusts,Trusts,Estate Planning,,,,,,,
2394,Economics,Estate Planning,Inheritance,Wills,International Law,Private International Law,,,,,
2395,Estate Planning,Inheritance,Jurisprudence,,,,,,,,
2396,Probate Law,Due Process,Liens,Bankruptcy Law,,,,,,,
2397,Charities,Estate Planning,Trusts,Animal Law,,,,,,,
2398,Estates,Wills,,,,,,,,,
2399,Contracts,Estates,Jurisprudence,Gifts,Wills,,,,,,
2400,Estate Planning,Inheritance,Democracy,Law and Society,Jurisprudence,,,,,,
2401,Asset Protection Trusts,Trusts,Federalism,Public Policy,States,,,,,,
2402,Bankruptcy,Bankruptcy Law,Inheritance,Probate Law,Interest,,,,,,
2403,Estate Planning,Trusts,Uniform Laws,Comparative Law,Legal History,,,,,,
2404,Jurisprudence,Economics,Law and Society,,,,,,,,
2405,Common Law,Practice and Procedure,Jurisprudence,,,,,,,,
2406,Disclaimers,Estate Planning,Inheritance,Property,Trusts,Estates,States,,,,
2407,Wills,Estates,Statutes,,,,,,,,
2408,Contracts,Jurisprudence,Gifts,Wills,Partnerships,Sales,,,,,
2409,Jurisprudence,Psychiatry and Psychology,Deregulation,Assignments,,,,,,,
2410,Estates,Property,States,Disclaimers,Estate Planning,Inheritance,Trusts,Marijuana,Medical Marijuana,,
2411,Bankruptcy Law,Disclaimers,Federalism,Retirement,Juveniles,Minors,Taxation-Federal,,,,
2412,Jurisprudence,Economics,Law and Society,,,,,,,,
2413,Inheritance,Marriage,Comparative Law,Legislation,Probate Law,Domestic Relations,Estate Planning,,,,
2414,Estates,Estate Planning,Inheritance,Jurisprudence,Evidence,States,,,,,
2415,Children,Wills,Bankruptcy Law,Courts,Domestic Relations,Domestic Violence,Federal Courts,Violence,,,
2416,Wills,Contracts,Jurisprudence,,,,,,,,
2417,Trusts,Wills,Estates,Property,,,,,,,
2418,Wills,Common Law,Courts,Equity,Property,Property Law,,,,,
2419,Children,Wills,Statutes,,,,,,,,
2420,General,Research,International Law,,,,,,,,
2421,Environmental Law,Judges,Legislation,Statutory Interpretation,Courts,Administrative Agencies,Politics,,,,
2422,Judges,Jurisprudence,Philosophy,Legal Analysis and Writing,Environmental Law,Legislation,Statutory Interpretation,,,,
2423,Common Law,State and Local Government Law,Torts,,,,,,,,
2424,Administrative Procedure,Environmental Policy,Procedure,Environment,,,,,,,
2425,Agriculture,Comparative Law,Food and Drug Law,Environment,Environmental Protection,International Trade,,,,,
2426,Agriculture,Environment,Comparative Law,Food and Drug Law,Practice and Procedure,,,,,,
2427,Judges,Politics,Voting,,,,,,,,
2428,Environment,Jurisprudence,Natural Resources,Courts,State and Local Government Law,Water,,,,,
2429,Communications Law,Criminal Law and Procedure,Politics,Intellectual Property Law,International Trade,,,,,,
2430,Administrative Agencies,Natural Resources Law,Dams,Environment,Sovereignty,,,,,,
2431,Judges,Constitutional Law,Conflict of Laws,,,,,,,,
2432,Economics,Environment,Regulation,Government,Climate Change,,,,,,
2433,Judges,,,,,,,,,,
2434,Administrative Agencies,Environment,Health,Health Law,Public Health,Comparative Law,Environmental Law,Food and Drug Law,International Trade,,
2435,Environment,Administrative Agencies,Environmental Law,Evidence,,,,,,,
2436,Agriculture,International Trade,Timber,Commerce,Environment,Treaties,Marketing,,,,
2437,Judges,Politics,Voting,Baseball,Elections,Race,,,,,
2438,Legal Analysis and Writing,Judges,Jurisprudence,Philosophy,,,,,,,
2439,Costs,Legislation,Statutes,Administrative Agencies,State The,,,,,,
2440,Consumer Protection Law,Food and Drug Law,Trade Regulation,Interest,Ownership,International Trade,,,,,
2441,Climate Change,Comparative Law,Traffic Laws,,,,,,,,
2442,Biodiversity,Conservation,Legislation,Natural Resources,,,,,,,
2443,Economics,Psychiatry and Psychology,International Law,Jurisprudence,,,,,,,
2444,States,Water,,,,,,,,,
2445,Comparative Law,Environmental Law,Food and Drug Law,International Trade,Comparative and Foreign Law,Regulation,Health Law,,,,
2446,Diplomacy,Courts,Evidence,Agriculture,Food and Drug Law,Indigenous Peoples,International Law,Science and Technology,,,
2447,Copyright,Intellectual Property Law,Music,Ethics,Legal Analysis and Writing,Legal Writing,Plagiarism,,,,
2448,Copyright,Intellectual Property Law,,,,,,,,,
2449,Copyright,Intellectual Property Law,,,,,,,,,
2450,Legal Education,Schools,Legal Profession,Legal Research,Attorneys,Research,,,,,
2451,Intellectual Property,Property,Intellectual Property Law,International Trade,Copyright,,,,,,
2452,Age,Internet,Music,Copyright,Strikes,,,,,,
2453,Education,Legal Education,Legal History,Legal Profession,Schools,Students,Regulation,,,,
2454,Carriers,Antitrust,Communications Law,Copyright,Intellectual Property Law,Music,,,,,
2455,Accounting,Corporations,Economics,Environment,Securities,,,,,,
2456,Copyright,Intellectual Property Law,Race and Ethnicity,Women,Music,,,,,,
2457,Copyright,Intellectual Property Law,,,,,,,,,
2458,Advertising,Regulation,Securities,Age,Internet,,,,,,
2459,Music,Copyright,Communications Law,Intellectual Property Law,,,,,,,
2460,Regulation,Credit,,,,,,,,,
2461,Economics,Investment,Privatization,,,,,,,,
2462,Banking,International Trade,Contracts,Economics,Public Finance,,,,,,
2463,Human Rights,Legislation,Courts,Human Rights Law,Civil Rights,,,,,,
2464,Copyright,Music,Age,Internet,Intellectual Property Law,Licensing,,,,,
2465,Environment,Accounting,Corporations,Economics,Taxation,,,,,,
2466,Credit,Securities,Regulation,,,,,,,,
2467,Credit,Regulation,,,,,,,,,
2468,Credit,,,,,,,,,,
2469,Physicians,Health Law,Managed Care,Medical Care,Organizations,Retirement,Patients,,,,
2470,Malpractice,Medical Jurisprudence,Medical Malpractice,Torts,Tort Reform,Liability,,,,,
2471,Health,Ethics,Malpractice,,,,,,,,
2472,Disability,Discrimination,Health,Medical Jurisprudence,Elder Law,Health Law,Economics,,,,
2473,Legislation,Advance Directives,Medical Jurisprudence,Self-Determination,,,,,,,
2474,Assisted Suicide,Medical Jurisprudence,Revolution,Suicide,Euthanasia,,,,,,
2475,Domestic Relations,Juveniles,Education,Torts,Criminal Law and Procedure,,,,,,
2476,Ethics,Standard of Care,Law and Ethics,Licensing,Managed Care,Physicians,State Agencies,,,,
2477,Affirmative Action,Civil Rights,Education,Race,,,,,,,
2478,Assisted Suicide,Euthanasia,Suicide,Medical Jurisprudence,Constitutional Law,Death,,,,,
2479,Data Mining,Patients,Prescription,Health,Commercial Speech,,,,,,
2480,Cloning,Domestic Relations,Public Policy,,,,,,,,
2481,Law and Society,Affirmative Action,Education,Interest,,,,,,,
2482,Euthanasia,Medical Jurisprudence,Assisted Suicide,Suicide,,,,,,,
2483,Consent,Health Law,Organ Donation,States,Medical Jurisprudence,Liberty,,,,,
2484,Social Welfare Law,States,Banking,Health,,,,,,,
2485,Cloning,Domestic Relations,Science and Technology,Sex,Sexuality and the Law,Bioethics,Genetics,,,,
2486,Discrimination,Infertility,Medical Jurisprudence,Politics,Women,Employment Practice,Pregnancy,Sexuality and the Law,,,
2487,Commercial Speech,First Amendment,Health,Interest,Regulation,Public Health,,,,,
2488,Managed Care,Professional Ethics,,,,,,,,,
2489,Constitutional Law,Interest,Jurisprudence,Capital Market,Securities,Procurement,,,,,
2490,International Law,Medical Jurisprudence,Human Rights,,,,,,,,
2491,Health,Politics,Congress,New Deal,,,,,,,
2492,Consumer Protection Law,Health,Ethics,,,,,,,,
2493,Medicaid,Health,Insurance,Social Welfare Law,,,,,,,
2494,Health,Medical Jurisprudence,Organizations,Health Law,Law and Society,,,,,,
2495,States,Third Parties,Documents,Attorneys,Jury,Witnesses,,,,,
2496,Government,Medical Jurisprudence,Physicians,State Government,Assisted Suicide,Euthanasia,Suicide,,,,
2497,Abortion,Consent,Informed Consent,,,,,,,,
2498,Federalism,First Amendment,Food and Drug Law,Marketing,Regulation,States,,,,,
2499,Health,Health Law,Medical Jurisprudence,Patients,,,,,,,
2500,Health,Medical Jurisprudence,Managed Care,Costs,,,,,,,
2501,Criminal Law and Procedure,Professional Ethics,Legal Profession,,,,,,,,
2502,Costs,Health,Health Law,Business Organizations,Health Insurance,Health Law and Policy,Insurance,Congress,Constitutional Law,,
2503,Advertising,Interest,Conflict of Interest,Health,Industry,Misconduct,,,,,
2504,Health,Health Law,Insurance Law,Taxation-Federal Income,Employees,,,,,,
2505,Bioethics,Biotechnology,Medical Jurisprudence,Cloning,,,,,,,
2506,Congress,Commerce,Death,Health,Constitutional Law,Federalism,,,,,
2507,Politics,Civil Rights,History,Administrative Agencies,,,,,,,
2508,Economics,Education,Courts,Law and Society,Affirmative Action,Civil Rights,,,,,
2509,Economics,Medical Jurisprudence,Health Law,,,,,,,,
2510,Health,Economics,,,,,,,,,
2511,Presidency,President/Executive Department,Politics,,,,,,,,
2512,Health,Health Law,Health Law and Policy,Research,Statistics,Antitrust,Immunity,State Action,Medical Jurisprudence,Nanotechnology,
2513,Constitutional Law,Criminal Law and Procedure,Health Law,Supreme Court of the United States,Legislation,Social Welfare Law,,,,,
2514,Infants,Organ Donation,Medical Jurisprudence,Science and Technology,,,,,,,
2515,,,,,,,,,,,
2516,Interest,Practice of Medicine,Patients,Physicians,Evidence,Health,,,,,
2517,Health,Insurance,Employment,Employment Practice,Health Insurance,Health Law,,,,,
2518,Health,Health Law and Policy,Religion,Clergy,Malpractice,Bioethics,,,,,
2519,Health,Health Law,Medical Jurisprudence,Bioethics,,,,,,,
2520,Tort Reform,Malpractice,Medical Malpractice,Medical Jurisprudence,Torts,,,,,,
2521,Medical Jurisprudence,Nanotechnology,Science and Technology,Health,Health Law,Health Law and Policy,Research,Statistics,,,
2522,Domestic Relations,Jurisprudence,Abortion,Emergency Medical Services,Public Finance,Law and Society,,,,,
2523,Costs,Health,Employment Practice,Taxation-Federal Income,Wages,Insurance Law,,,,,
2524,Hospitals,Health,Antitrust,Trade Regulation,,,,,,,
2525,Euthanasia,Assisted Suicide,Death,Suicide,Liberty,Physicians,,,,,
2526,Health,Health Care Providers,Medical Jurisprudence,Professional Ethics,History,Jurisprudence,Research,,,,
2527,Interest,Patients,Physicians,Health,,,,,,,
2528,Health,Housing,,,,,,,,,
2529,Athletes,Sports,Statutes,Youth Sports,Liability,,,,,,
2530,Euthanasia,Patients,,,,,,,,,
2531,Health,Medicaid,,,,,,,,,
2532,,,,,,,,,,,
2533,Tort Reform,Evidence,Medical Jurisprudence,Torts,Insurance,Malpractice,,,,,
2534,Dispute Resolution,International Law,Foreign Investment,,,,,,,,
2535,Arbitration,Investment,International Trade,Legal Profession,Treaties,,,,,,
2536,Arbitration,Dispute Resolution,Investment,Foreign Investment,International Trade,Third Parties,,,,,
2537,International Law,Dispute Resolution,International Trade,Foreign Investment,Taxation: International,,,,,,
2538,International Trade,Banking,Dispute Resolution,International Law,,,,,,,
2539,Investment,Treaties,Arbitration,Foreign Investment,Environmental Protection,Labor,Labor Law,,,,
2540,Arbitration,Dispute Resolution,International Trade,Investment,Annulment,,,,,,
2541,Conflict of Laws,Dispute Resolution,Jurisdiction,Law and Society,Legal Education,,,,,,
2542,Dispute Resolution,Immunity,Liability,Remedies,,,,,,,
2543,Dispute Resolution,International Law,Foreign Investment,State The,International Trade,,,,,,
2544,Arbitration,International Trade,Investment,Dispute Resolution,Foreign Investment,Politics,Administrative Agencies,Treaties,,,
2545,Dispute Resolution,Foreign Investment,International Law,Investment,Law Methodology Of,Legal Research,Research,,,,
2546,Arbitration,Dispute Resolution,International Arbitration,International Trade,Ethics,,,,,,
2547,Arbitration,Dispute Resolution,Foreign Investment,Investment,Politics,International Trade,States,,,,
2548,Bankruptcy,Bankruptcy Law,Government,Religion,,,,,,,
2549,Dispute Resolution,International Law,Arbitration,International Trade,Contracts,,,,,,
2550,Biography,Politics,Railroads,Religion,,,,,,,
2551,International Trade,Dispute Resolution,International Law,Arbitration,Investment,,,,,,
2552,Conflict of Laws,Globalization,Investment,Regulation,Politics,,,,,,
2553,,,,,,,,,,,
2554,Investment,Foreign Investment,Politics,,,,,,,,
2555,Conflict of Laws,Yk,History,Interest,,,,,,,
2556,Dispute Resolution,Small Businesses,Arbitration,Civil Procedure,Procedure,,,,,,
2557,Arbitration,Investment,Developing Countries,Foreign Investment,Treaties,,,,,,
2558,,,,,,,,,,,
2559,Legal History,Research,Taxation-Federal Income,Law and Society,,,,,,,
