Title,List Author,Author(s),Journal,Journal,Vol,Issue,Pages,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
"Punishing Drug Addicts Who Have Babies: Women of Color, Equality, and the Right of Privacy [article]",Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Harvard Law Review , Vol. 104, Issue 7 (May 1991), pp. 1419-1482","Harvard Law Review , ",Vol.  104,7 (May 1991),1419-1482,104 Harv. L. Rev. 1419 (1990-1991),515,3,47,"Constitutional Law, Women, Domestic Relations, Criminal Law and Procedure, Medical Jurisprudence",2123
The Social and Moral Cost of Mass Incarceration in African American Communities [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Stanford Law Review, Vol. 56, Issue 5 (April 2004), pp. 1271-1306","Stanford Law Review, ",Vol.  56,5 (April 2004),1271-1306,56 Stan. L. Rev. 1271 (April 2004),222,2,2443,"Criminal Law and Procedure, Law Enforcement and Corrections, Politics",2123
"Genetic Tie, The [article]",Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","University of Chicago Law Review, Vol. 62, Issue 1 (Winter 1995), pp. 209-274","University of Chicago Law Review, ",Vol.  62,1 (Winter 1995),209-274,62 U. Chi. L. Rev. 209 (Winter 1995),148,3,12,"Constitutional Law, Medical Jurisprudence, Sexuality and the Law, Women",2123
"Race, Vagueness, and the Social Meaning of Order-Maintenance Policing [comments]",Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Journal of Criminal Law and Criminology, Vol. 89, Issue 3 (Spring 1999), pp. 775-836","Journal of Criminal Law and Criminology, ",Vol.  89,3 (Spring 1999),775-836,89 J. Crim. L. & Criminology 775 (1998-1999),111,na,73,"Law and Society, Maintenance, Race, Law Enforcement and Corrections, Crimes, Due Process, Law Enforcement, State and Local Government Law",2123
Motherhood and Crime [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Iowa Law Review, Vol. 79, Issue 1 (October 1993), pp. 95-142","Iowa Law Review, ",Vol.  79,1 (October 1993),95-142,79 Iowa L. Rev. 95 (1993-1994),96,na,56,"Child Neglect, Drug Abuse, Jurisprudence, Women, Family Law",2123
Racism and Patriarchy in the Meaning of Motherhood [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","American University Journal of Gender and the Law, Vol. 1, pp. 1-38","American University Journal of Gender and the Law, ",Vol.  1,na,Jan-38,1 Am. U. J. Gender & L. 1 (1993),94,na,82,"Domestic Relations, Jurisprudence, Feminism, Gender, Harassment, Race, Sexual Harassment",2123
The Value of Black Mothers' Work [comments],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Connecticut Law Review, Vol. 26, Issue 3 (Spring 1994), pp. 871-878","Connecticut Law Review, ",Vol.  26,3 (Spring 1994),871-878,26 Conn. L. Rev. 871 (1993-1994),87,na,93,"Women, Domestic Relations",2123
"Crime, Race, and Reproduction [comments]",Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Tulane Law Review , Vol. 67, Issue 6 , pp. 1945-1977","Tulane Law Review , ",Vol.  67,6,1945-1977,67 Tul. L. Rev. 1945 (1992-1993),85,na,101,"Medical Jurisprudence, Race, Reproduction, Law and Society",2123
Is There Justice in Children's Rights: The Critique of Federal Family Preservation Policy [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","University of Pennsylvania Journal of Constitutional Law, Vol. 2, Issue 1 (December 1999), pp. 112-140","University of Pennsylvania Journal of Constitutional Law, ",Vol.  2,1 (December 1999),112-140,2 U. Pa. J. Const. L. 112 (1999-2000),77,na,32,"Children, Adoption, Evidence, Research",2123
"Prison, Foster Care, and the Systemic Punishment of Black Mothers [article]",Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","UCLA Law Review, Vol. 59, Issue 6 (August 2012), pp. 1474-1501","UCLA Law Review, ",Vol.  59,6 (August 2012),1474-1501,59 UCLA L. Rev. 1474 (2011-2012),73,3,572,"Domestic Relations, Foster Care, Juveniles, Punishment, Women, Equity",2123
Welfare and the Problem of Black Citizenship [reviews],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Yale Law Journal, Vol. 105, Issue 6 (April 1996), pp. 1563-1602","Yale Law Journal, ",Vol.  105,6 (April 1996),1563-1602,105 Yale L.J. 1563 (April 1996),73,na,33,"Citizenship, Civil Rights, Women",2123
Spiritual and Menial Housework [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Yale Journal of Law and Feminism, Vol. 9, Issue 1 (1997), pp. 51-80","Yale Journal of Law and Feminism, ",Vol.  9,1 (1997),51-80,9 Yale J.L. & Feminism 51 (1997),73,na,36,"Labor Law, Gender, Labor, Economics, Women",2123
"Rape, Violence, and Women's Autonomy [article]",Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Chicago-Kent Law Review, Vol. 69, Issue 2 (1993), pp. 359-388","Chicago-Kent Law Review, ",Vol.  69,2 (1993),359-388,69 Chi.-Kent L. Rev. 359 (1993-1994),68,2,109,"Criminal Law and Procedure, Sex, Sex Crimes",2123
Rust v. Sullivan and the Control of Knowledge [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","George Washington Law Review, Vol. 61, Issue 3 (March 1993), pp. 587-656","George Washington Law Review, ",Vol.  61,3 (March 1993),587-656,61 Geo. Wash. L. Rev. 587 (March 1993),59,na,12,"Abortion, Constitutional Law, First Amendment, Government, Medical Jurisprudence",2123
Unshackling Black Motherhood [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Michigan Law Review, Vol. 95, Issue 4 (February 1997), pp. 938-964","Michigan Law Review, ",Vol.  95,4 (February 1997),938-964,95 Mich. L. Rev. 938 (1996-1997),54,na,57,"Domestic Relations, Constitutional Law, Women, Criminal Law and Procedure",2123
Criminal Justice and Black Families: The Collateral Damage of Over-enforcement [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","U.C. Davis Law Review, Vol. 34, Issue 4 (Summer 2001), pp. 1005-1028","U.C. Davis Law Review, ",Vol.  34,4 (Summer 2001),1005-1028,34 U.C. Davis L. Rev. 1005 (2000-2001),53,na,67,"Law and Society, Law Enforcement and Corrections, Gender, Race, Violence, Women",2123
Race and the New Reproduction [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Hastings Law Journal, Vol. 47, Issue 4 (April 1996), pp. 935-950","Hastings Law Journal, ",Vol.  47,4 (April 1996),935-950,47 Hastings L.J. 935 (1995-1996),44,na,27,"Civil Rights, Race, Reproduction, Regulation",2123
Constructing a Criminal Justice System Free of Racial Bias: An Abolitionist Framework [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Columbia Human Rights Law Review, Vol. 39, Issue 1 (Fall 2007), pp. 261-286","Columbia Human Rights Law Review, ",Vol.  39,1 (Fall 2007),261-286,39 Colum. Hum. Rts. L. Rev. 261 (2007-2008),41,na,233,"Criminal Law and Procedure, Judges, Capital Punishment",2123
Child Welfare and Civil Rights [comments],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","University of Illinois Law Review, Vol. 2003, Issue 1 (2003), pp. 171-182","University of Illinois Law Review, ",Vol.  2003,1 (2003),171-182,2003 U. Ill. L. Rev. 171 (2003),36,na,49,"Civil Rights, Juveniles, Social Welfare Law, Race, Adoption",2123
The Only Good Poor Woman: Unconstitutional Conditions and Welfare [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Denver University Law Review, Vol. 72, Issue 4 (1995), pp. 931-948","Denver University Law Review, ",Vol.  72,4 (1995),931-948,72 Denv. U. L. Rev. 931 (1994-1995),33,na,8,"Social Welfare Law, Sexuality and the Law, Drug Testing",2123
Welfare Reform and Families in the Child Welfare System [article],Dorothy Roberts,"Doran, Morgan B. Ward (Cited 29 times); Roberts, Dorothy E. (Cited 2459 times)","Maryland Law Review, Vol. 61, Issue 2 (2002), pp. 386-436","Maryland Law Review, ",Vol.  61,2 (2002),386-436,61 Md. L. Rev. 386 (2002),29,na,14,"Children, Juveniles",2123
BlackCrit Theory and the Problem of Essentialism [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","University of Miami Law Review, Vol. 53, Issue 4 (July 1999), pp. 855-862","University of Miami Law Review, ",Vol.  53,4 (July 1999),855-862,53 U. Miami L. Rev. 855 (July 1999),28,na,40,"Women, Race",2123
SOCIAL JUSTICE AND FAMILY COURT REFORM [article] *new*,Dorothy Roberts,"Brooks, Susan L. (Cited 233 times); Roberts, Dorothy E. (Cited 2459 times)","Family Court Review, Vol. 40, Issue 4 (October 2002), pp. 453-459","Family Court Review, ",Vol.  40,4 (October 2002),453-459,40 Fam. Ct. Rev. 453 (2002),23,na,na,"Civil Rights, Juveniles, Social Welfare Law, Race, Adoption",2123
"Poverty, Welfare Reform, and the Meaning of Disability [article]",Dorothy Roberts,"Pokempner, Jennifer (Cited 21 times); Roberts, Dorothy E. (Cited 2459 times)","Ohio State Law Journal, Vol. 62, Issue 1 (2001), pp. 425-464","Ohio State Law Journal, ",Vol.  62,1 (2001),425-464,62 Ohio St. L.J. 425 (2001),20,na,33,"Disability, Social Welfare Law",2123
A Feminist Social Justice Approach to Reproduction-Assisting Technologies: A Case Study on the Limits of Liberal Theory [article],Dorothy Roberts,"Callahan, Joan C. (Cited 20 times); Roberts, Dorothy E. (Cited 2459 times)","Kentucky Law Journal, Vol. 84, Issue 4 (1995-1996), pp. 1197-1234","Kentucky Law Journal, ",Vol.  84,4 (1995-1996),1197-1234,84 Ky. L.J. 1197 (1995-1996),20,na,34,"Jurisprudence, Reproduction, Social Justice, Artificial Insemination, Health Insurance, In Vitro Fertilization, Infertility, Paternity, Physicians, Reproductive Technology",2123
Irrationality and Sacrifice in the Welfare Reform Consensus [comments],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Virginia Law Review, Vol. 81, Issue 8 (November 1995), pp. 2607-2624","Virginia Law Review, ",Vol.  81,8 (November 1995),2607-2624,81 Va. L. Rev. 2607 (1995),20,na,1,"Child Support, Domestic Relations, Social Welfare Law, Women",2123
The Challenge of Substance Abuse for Family Preservation Policy [article],Dorothy Roberts,"Roberts, Dorothy (Cited 63 times)","Journal of Health Care Law & Policy, Vol. 3, Issue 1 (1999), pp. 72-87","Journal of Health Care Law & Policy, ",Vol.  3,1 (1999),72-87,3 J. Health Care L. & Pol'y 72 (1999-2000),18,na,15,"Adoption, Child Abuse, Courts, Parents, Social Welfare Law, Children",2123
The Meaning of Gender Equality in Criminal Law [comments],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Journal of Criminal Law and Criminology, Vol. 85, Issue 1 (Summer 1994), pp. 1-14","Journal of Criminal Law and Criminology, ",Vol.  85,1 (Summer 1994),14-Jan,85 J. Crim. L. & Criminology 1 (Summer 1994),18,na,60,"Criminal Law, Gender, Rape, Labor, Women",2123
"Poverty, Race, and New Directions in Child Welfare Policy [article]",Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Washington University Journal of Law & Policy, Vol. 1, pp. 63-76","Washington University Journal of Law & Policy, ",Vol.  1,na,63-76,1 Wash. U. J.L. & Pol'y 63 (1999),18,na,26,"Race, Adoption",2123
"Deviance, Resistance, and Love [article]",Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Utah Law Review, Vol. 1994, Issue 1 (1994), pp. 179-192","Utah Law Review, ",Vol.  1994,1 (1994),179-192,1994 Utah L. Rev. 179 (1994),17,na,17,"Civil Rights, Gender, Race, Criminal Law, Politics, Race and Ethnicity",2123
The Meaning of Blacks' Fidelity to the Constitution [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Fordham Law Review, Vol. 65, Issue 4 (March 1997), pp. 1761-1772","Fordham Law Review, ",Vol.  65,4 (March 1997),1761-1772,65 Fordham L. Rev. 1761 (1996-1997),17,na,9,"Constitutional Amendment, Constitutional Law, Jurisprudence, Law and Society, Agency",2123
The Community Dimension of State Child Protection [comments],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Hofstra Law Review, Vol. 34, Issue 1 (Fall 2005), pp. 23-38","Hofstra Law Review, ",Vol.  34,1 (Fall 2005),23-38,34 Hofstra L. Rev. 23 (2005-2006),17,na,18,"Social Welfare Law, Civil Rights, Juveniles",2123
The Priority Paradigm: Private Choices and the Limits of Equality [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","University of Pittsbrugh Law Review, Vol. 57, Issue 2 (Winter 1996), pp. 363-404","University of Pittsbrugh Law Review, ",Vol.  57,2 (Winter 1996),363-404,57 U. Pitt. L. Rev. 363 (1995-1996),16,na,4,"Commitment, Social Justice, Desegregation, Civil Rights",2123
Privatization and Punishment in the New Age of Reprogenetics [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Emory Law Journal, Vol. 54, Issue 3 (Summer 2005), pp. 1343-1360","Emory Law Journal, ",Vol.  54,3 (Summer 2005),1343-1360,54 Emory L.J. 1343 (2005),16,na,18,"Politics, Race and Ethnicity, Criminal Law and Procedure, Domestic Relations",2123
The Future of Reproductive Choice for Poor Women and Women of Color [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Women's Rights Law Reporter, Vol. 12, Issue 2 (Summer 1990), pp. 59-68","Women's Rights Law Reporter, ",Vol.  12,2 (Summer 1990),59-68,12 Women's Rts. L. Rep. 59 (1990-1991),16,na,18,"Constitutional Law, Medical Jurisprudence, Women, Civil Rights, Criminal Law and Procedure",2123
Child Welfare's Paradox [comments],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","William and Mary Law Review, Vol. 49, Issue 3 (December 2007), pp. 881-902","William and Mary Law Review, ",Vol.  49,3 (December 2007),881-902,49 Wm. & Mary L. Rev. 881 (2007-2008),16,na,23,"Juveniles, Civil Rights, Social Welfare Law, Race",2123
The Moral Exclusivity of the New Civil Society [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Chicago-Kent Law Review, Vol. 75, Issue 2 (2000), pp. 555-582","Chicago-Kent Law Review, ",Vol.  75,2 (2000),555-582,75 Chi.-Kent L. Rev. 555 (1999-2000),14,na,5,"Law and Society, Education, Nonprofit Organizations, Organizations, Religion, Vouchers",2123
Race and Gender in the Law Review [article],Dorothy Roberts,"Bowman, Cynthia Grant (Cited 553 times); Roberts, Dorothy (Cited 63 times); Rubinowitz, Leonard S. (Cited 200 times)","Northwestern University Law Review, Vol. 100, Issue 1 (2006), pp. 27-70","Northwestern University Law Review, ",Vol.  100,1 (2006),27-70,100 Nw. U. L. Rev. 27 (2006),13,na,9,"Gender, Law and Society, Race, Equal Protection, Fourteenth Amendment, Women",2123
"Collateral Consequences, Genetic Surveillance and the New Biopolitics of Race [article]",Dorothy Roberts,"Roberts, Dorothy (Cited 63 times)","Howard Law Journal, Vol. 54, Issue 3 (Spring 2011), pp. 567-586","Howard Law Journal, ",Vol.  54,3 (Spring 2011),567-586,54 Howard L.J. 567 (2010-2011),11,na,44,"Race, Medical Jurisprudence, Philosophy",2123
Legal Constraints on the Use of Race in Biomedical Research: Toward a Social Justice Framework [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Journal of Law, Medicine and Ethics, Vol. 34, Issue 3 (Fall 2006), pp. 526-534","Journal of Law, Medicine and Ethics, ",Vol.  34,3 (Fall 2006),526-534,34 J.L. Med. & Ethics 526 (2006),11,na,6,"Race, Research, Social Justice, Fourteenth Amendment, Medical Jurisprudence, Regulation",2123
Torture and the Biopolitics of Race [article],Dorothy Roberts,"Roberts, Dorothy (Cited 63 times)","University of Miami Law Review, Vol. 62, Issue 2 (January 2008), pp. 229-248","University of Miami Law Review, ",Vol.  62,2 (January 2008),229-248,62 U. Miami L. Rev. 229 (2007-2008),10,na,30,"Law Enforcement, Criminal Law and Procedure, Military, War and Peace",2123
Black Club Women and Child Welfare: Lessons for Modern Reform [comments],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Florida State University Law Review, Vol. 32, Issue 3 (Spring 2005), pp. 957-972","Florida State University Law Review, ",Vol.  32,3 (Spring 2005),957-972,32 Fla. St. U. L. Rev. 957 (2004-2005),9,na,20,"Law and Society, Social Welfare Law, Women, Investigations, Stop and Frisk",2123
The Paradox of Silence: Some Questions about Silence as Resistance [comments],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","University of Michigan Journal of Law Reform, Vol. 33, Issue 3 (Spring 2000), pp. 343-358","University of Michigan Journal of Law Reform, ",Vol.  33,3 (Spring 2000),343-358,33 U. Mich. J.L. Reform 343 (1999-2000),9,na,19,"Curriculum, Age, Globalization, Sexuality",2123
Loving v. Virginia as a Civil Rights Decision [comments],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","New York Law School Law Review, Vol. 59, Issue 1 (2014-2015), pp. 175-210","New York Law School Law Review, ",Vol.  59,1 (2014-2015),175-210,59 N.Y. L. Sch. L. Rev. 175 (2014-2015),9,na,33,"Civil Rights, Domestic Relations, Juveniles, Regulation, Sex, Sexuality, Adoption",2123
The Social Context of Oncofertility [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","DePaul Law Review, Vol. 61, Issue 3 (Spring 2012), pp. 777-798","DePaul Law Review, ",Vol.  61,3 (Spring 2012),777-798,61 DePaul L. Rev. 777 (2011-2012),8,na,13,"Law and Society, Infertility, Medical Jurisprudence",2123
"Is Race-Based Medicine Good for Us: African American Approaches to Race, Biomedicine, and Equality [article]",Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Journal of Law, Medicine and Ethics, Vol. 36, Issue 3 (Fall 2008), pp. 537-545","Journal of Law, Medicine and Ethics, ",Vol.  36,3 (Fall 2008),537-545,36 J.L. Med. & Ethics 537 (2008),8,na,25,"Race, Discrimination, Health, Racial Discrimination, Health Care Providers, Health Law, Hospitals, Medicaid, Public Accommodations",2123
"Social Justice, Procreative Liberty, and the Limits of Liberal Theory: Robertson's Children of Choice [reviews]",Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Law and Social Inquiry, Vol. 20, Issue 4 (Fall 1995), pp. 1005-1022","Law and Social Inquiry, ",Vol.  20,4 (Fall 1995),1005-1022,20 Law & Soc. Inquiry 1005 (1995),7,na,10,"Domestic Relations, Genetics, Human Rights, International Law, Constitutional Law",2123
Democratizing Criminal Law as an Abolitionist Project [article],Dorothy Roberts,"Roberts, Dorothy E. (Cited 2459 times)","Northwestern University Law Review, Vol. 111, Issue 6 (2017), pp. 1597-1608","Northwestern University Law Review, ",Vol.  111,6 (2017),1597-1608,111 Nw. U. L. Rev. 1597 (2016-2017),7,na,26,"Politics, Race and Ethnicity, Courts, Criminal Law and Procedure",2123
